,age,sex,state,location,education,employment,marital status,health centers have ability to test COVID-19?,available vaccine,time to get result,no of patients,concerns,challenges,factor to get vaccine,cost,which vaccine,willingness
86,0,1,7,2,1,0,2,2,1,4,3,4,8,3,0,3,1
87,0,0,8,1,1,4,2,2,2,6,3,4,2,2,2,3,1
88,0,1,7,2,1,0,2,2,0,0,3,4,2,2,1,0,1
89,0,0,10,1,1,4,2,2,2,4,0,4,8,25,2,2,1
90,0,1,15,1,1,4,2,2,1,2,3,4,2,2,0,0,1
91,0,0,8,1,1,4,2,2,2,6,0,4,8,2,0,0,1
92,3,0,10,1,1,0,0,2,2,6,0,4,2,14,2,2,1
93,0,0,8,1,1,4,2,2,2,4,0,4,0,2,0,0,1
94,0,1,8,0,1,0,2,2,2,4,0,4,15,14,2,3,0
95,0,0,8,2,4,4,2,2,0,2,1,13,0,14,0,3,0
96,0,0,1,2,2,4,2,2,2,6,0,4,15,16,0,2,1
97,0,0,8,2,2,4,2,2,0,2,1,4,2,3,0,3,0
98,0,1,14,2,1,4,2,2,0,6,3,4,2,18,2,2,1
99,1,0,8,1,2,0,2,2,2,6,3,4,2,2,2,0,1
100,0,0,7,2,2,4,2,2,1,2,3,4,23,23,1,2,1
101,4,1,10,2,1,3,0,2,1,2,0,4,2,14,2,2,1
102,0,0,2,2,2,4,2,2,1,1,3,13,12,31,2,2,1
103,0,0,0,2,2,4,2,2,1,4,0,1,2,3,0,0,1
104,0,0,10,2,1,4,2,2,0,6,0,4,2,2,2,3,0
105,0,0,8,2,2,4,2,2,0,6,2,4,2,2,1,2,1
106,0,1,8,1,2,4,2,2,1,2,3,5,24,14,2,2,1
107,0,0,8,1,2,4,2,2,0,0,3,4,15,14,0,0,1
108,0,0,7,2,1,4,2,2,2,6,0,4,8,2,2,2,1
109,0,0,8,0,1,5,2,1,1,2,3,4,0,2,0,0,1
110,0,0,10,1,1,4,2,2,2,4,3,0,15,2,2,3,0
111,0,0,7,2,2,4,2,2,2,6,3,13,1,2,2,3,0
112,0,0,8,1,2,4,2,2,1,6,0,4,2,16,2,2,1
113,0,0,17,1,1,4,2,2,0,1,0,5,2,6,1,0,1
114,1,0,8,1,2,4,0,2,1,4,3,4,4,3,2,1,1
115,0,1,8,2,2,4,2,2,2,6,0,4,8,2,2,2,1
116,0,0,7,2,2,4,2,2,0,2,0,4,7,2,2,2,1
117,0,0,8,0,1,4,2,2,0,2,3,4,8,2,2,2,1
118,0,0,8,1,2,4,1,2,2,0,3,1,8,2,0,1,1
119,0,2,8,0,1,0,1,2,0,2,2,0,2,33,2,0,1
120,0,0,8,0,2,0,2,2,1,0,0,4,2,2,2,2,1
121,0,1,8,1,1,4,2,2,1,1,3,4,2,6,0,0,1
122,1,1,8,0,2,0,2,2,2,0,3,4,8,14,1,2,1
123,0,1,8,0,1,4,2,2,2,6,3,4,9,2,0,0,1
124,0,1,8,1,1,4,2,2,1,0,0,13,2,14,0,0,1
125,0,1,7,2,1,4,2,2,1,1,3,10,11,2,2,0,1
126,0,1,8,2,4,4,2,2,0,2,3,13,2,3,0,0,1
127,0,1,8,1,4,4,2,2,2,1,3,0,15,2,0,1,1
128,1,0,10,2,2,0,2,2,0,0,0,5,2,26,2,3,0
129,0,1,8,2,4,4,2,2,2,6,3,4,2,14,2,2,1
130,0,0,8,2,0,4,2,2,1,2,3,4,2,14,2,0,1
131,0,1,8,0,2,4,2,2,1,0,1,1,2,23,0,3,1
132,0,1,8,1,4,4,2,2,0,1,2,4,24,3,2,2,1
133,0,1,8,1,1,4,2,2,0,6,3,1,8,2,2,1,1
134,0,1,8,0,1,4,2,2,1,6,3,4,2,4,0,0,1
135,1,1,8,1,2,0,2,2,2,6,3,4,19,18,2,0,1
136,0,0,16,2,1,4,2,2,0,2,1,4,31,5,0,2,1
137,1,1,7,2,1,4,1,2,1,2,0,4,0,2,2,2,1
138,0,1,8,0,4,4,2,0,0,0,0,13,2,33,2,3,1
139,0,1,8,0,4,4,2,1,2,6,3,4,2,33,2,2,1
140,0,1,8,2,4,4,2,2,0,6,3,4,24,24,2,0,1
141,0,0,7,2,1,4,2,2,1,6,3,13,15,3,2,2,1
142,0,0,8,1,1,0,2,2,0,4,0,4,8,14,0,2,1
143,0,0,8,0,2,4,2,2,0,0,3,4,8,2,2,0,1
144,0,0,10,2,1,4,2,2,2,2,0,4,15,2,2,1,1
145,0,1,8,1,1,3,2,2,1,4,3,4,15,2,0,3,0
146,0,1,8,2,1,0,2,2,1,0,3,4,8,16,2,0,1
147,0,0,8,0,2,0,2,2,2,0,0,4,15,33,2,1,1
148,0,0,8,2,2,4,2,2,0,6,3,4,2,20,2,0,1
149,0,1,15,2,2,4,2,0,2,4,0,0,8,12,2,0,1
150,0,0,8,0,1,4,2,2,2,6,0,4,8,2,2,3,1
151,0,1,8,1,1,4,2,2,2,6,3,13,2,31,2,0,1
152,0,0,8,0,4,4,2,2,0,0,0,4,2,3,2,2,1
153,0,0,7,2,1,4,2,2,2,1,0,4,5,14,0,2,0
154,0,0,7,2,1,4,2,2,1,4,1,4,15,2,2,2,1
155,0,0,8,0,1,4,2,2,1,1,3,4,2,2,0,0,1
156,0,0,7,2,1,4,2,2,0,6,3,0,14,2,2,2,1
157,0,0,8,1,1,4,2,2,1,2,3,4,2,14,2,2,1
158,0,1,8,2,1,4,2,2,1,4,1,4,2,31,2,0,1
159,0,0,7,0,2,4,2,2,1,6,0,5,2,3,2,2,1
160,0,0,7,2,2,4,2,2,2,1,3,5,29,6,2,3,0
161,0,0,10,1,1,4,2,2,0,6,0,4,2,21,0,0,1
162,0,1,3,0,2,4,2,2,1,6,0,4,27,8,2,2,1
163,0,1,8,1,1,3,2,2,0,2,0,0,2,14,2,1,1
164,0,0,7,1,1,1,0,2,0,1,3,4,2,6,0,2,1
165,0,0,8,1,2,0,2,2,1,0,3,7,8,6,2,0,1
166,0,1,8,2,1,4,2,2,1,2,3,4,16,34,2,2,1
167,0,1,8,0,1,4,2,2,0,2,3,1,15,3,2,0,1
168,0,1,17,2,1,4,2,2,1,6,3,0,8,6,0,2,1
169,0,0,16,2,1,4,2,2,0,0,0,4,2,31,0,3,0
170,0,1,8,1,2,4,2,2,0,2,3,4,8,14,0,2,1
171,0,1,15,0,2,4,2,2,0,1,3,4,0,2,2,2,1
172,0,1,8,2,4,4,2,0,2,4,3,6,15,18,0,3,1
173,0,1,8,1,1,4,2,2,2,2,3,4,0,2,0,0,1
174,0,0,7,0,1,4,2,2,2,6,0,4,8,3,2,0,1
175,0,0,7,2,1,4,2,2,2,6,3,4,2,14,2,3,0
176,0,0,8,2,1,4,2,2,0,0,0,1,24,21,0,2,1
177,0,0,10,1,2,4,2,2,1,1,0,4,2,8,2,2,1
178,0,1,8,1,4,4,2,2,1,4,3,13,1,2,2,2,1
179,0,1,8,1,1,4,2,2,1,4,0,4,15,3,0,1,1
180,0,1,15,1,4,4,2,2,1,2,0,13,2,31,0,0,1
181,4,1,8,2,1,0,0,2,1,2,0,4,2,2,2,0,1
182,0,1,7,2,1,4,2,2,1,1,1,6,15,4,2,2,1
183,0,1,8,1,4,4,2,2,1,4,2,5,2,8,2,2,1
184,0,1,8,0,4,4,2,2,0,2,3,4,2,31,2,2,1
185,0,1,15,2,1,4,2,2,0,2,0,5,2,2,1,3,0
186,0,0,8,1,2,4,2,2,0,2,3,5,8,2,0,0,1
187,0,1,8,0,2,4,2,2,0,2,0,0,4,33,0,2,1
188,0,0,8,0,1,4,2,2,2,0,1,4,2,14,2,2,1
189,0,0,8,2,2,4,2,0,1,6,0,6,8,21,2,0,1
190,0,1,8,0,4,4,2,2,0,6,1,4,2,33,2,0,1
191,2,0,10,0,2,0,0,2,0,4,0,4,2,14,2,2,1
192,0,1,8,1,1,4,2,2,2,4,3,4,2,33,2,0,1
193,0,0,8,0,1,4,2,2,1,0,3,4,15,16,0,1,1
194,0,1,8,2,1,4,2,2,1,0,0,4,2,2,2,2,1
195,0,0,8,0,2,4,2,2,2,4,0,4,15,8,2,1,1
196,0,0,8,1,1,4,2,2,1,0,0,4,28,19,2,2,1
